"id","subdistrict_id","postcode"
"1052","660","17414"
"1054","660","17415"
"1053","660","17431"
"1058","661","17114"
"1057","661","17115"
"1056","661","17116"
"1055","661","17117"
"1059","662","17530"
"1060","663","17531"
"1061","664","17532"
"1062","665","17533"
"1063","666","17534"
"1064","667","17720"
"1065","668","17340"
"1066","669","17520"
"1067","670","17540"
"1068","671","17730"
"1069","672","17710"
"1070","673","17330"
"1071","674","17320"
"1072","675","17630"
"1073","676","17620"
"1074","677","17535"
"1075","678","17630"
"1076","679","17620"
"1077","680","17510"
"1078","681","17510"
"1084","682","17211"
"1080","682","17212"
"1086","682","17213"
"1081","682","17214"
"1085","682","17215"
"1079","682","17216"
"1082","682","17217"
"1083","682","17218"
"1087","683","17610"
"1089","684","17350"
"1088","684","17352"
"1090","684","17356"
"1091","685","38221"
"1092","685","38225"
"1093","685","38229"
"1095","686","38215"
"1094","686","38216"
"1097","687","38121"
"1098","687","38122"
"1099","687","38125"
"1096","687","38126"
"1100","688","38223"
"1102","688","38224"
"1101","688","38227"
"1103","688","38228"
"1106","689","38221"
"1104","689","38222"
"1105","689","38223"
"1107","689","38227"
"1110","690","38211"
"1111","690","38213"
"1108","690","38214"
"1109","690","38216"
"1112","691","38119"
"1119","692","38113"
"1114","692","38114"
"1118","692","38115"
"1116","692","38116"
"1117","692","38117"
"1113","692","38118"
"1115","692","38119"
"1122","693","38221"
"1121","693","38224"
"1123","693","38226"
"1120","693","38229"
"1125","694","38611"
"1128","694","38612"
"1129","694","38614"
"1124","694","38617"
"1127","694","38618"
"1126","694","38619"
"1130","695","38656"
"1131","696","38655"
"1132","697","38653"
"1133","698","38657"
"1134","699","38575"
"1135","700","38373"
"1136","701","38387"
"1137","702","38382"
"1138","702","38385"
"1139","703","38374"
"1140","704","38361"
"1141","705","38383"
"1142","706","38372"
"1143","707","38371"
"1144","708","38386"
"1145","709","38363"
"1146","710","38326"
"1147","711","38653"
"1148","712","38385"
"1149","713","38372"
"1150","714","38386"
"1151","715","38383"
"1152","716","38375"
"1153","716","38376"
"1154","716","38377"
"1155","716","38378"
"1156","716","38379"
"1157","717","38611"
"1158","718","38374"
"1160","719","38373"
"1159","719","38374"
"1161","719","38575"
"1162","720","38363"
"1165","721","39111"
"1164","721","39112"
"1167","721","39113"
"1166","721","39117"
"1168","721","39118"
"1163","721","39125"
"1169","722","39183"
"1170","723","39182"
"1171","724","39152"
"1172","725","39153"
"1173","726","39153"
"1174","727","39152"
"1175","728","39182"
"1177","729","39112"
"1178","729","39124"
"1176","729","39125"
"1183","730","39113"
"1184","730","39114"
"1180","730","39115"
"1181","730","39116"
"1182","730","39119"
"1179","730","39125"
"1185","731","39115"
"1187","731","39116"
"1188","731","39121"
"1186","731","39125"
"1190","732","39119"
"1191","732","39123"
"1189","732","39125"
"1192","733","39183"
"1193","734","39182"
"1194","735","39153"
"1195","736","38511"
"1197","736","38512"
"1196","736","38513"
"1198","737","38553"
